"contrast","display_name","metric","subj_id","score","rank","grand_mean","subj_mean"
"ImageNet1K","ConvNext-B","wrsa","2",0.677592926807056,9,0.670686668638677,0.682773423345787
"ImageNet1K","ConvNext-B","wrsa","5",0.66861970319057,9,0.670686668638677,0.727067243648745
"ImageNet1K","ConvNext-B","wrsa","7",0.675550714499381,9,0.670686668638677,0.606429847414221
"ImageNet21K","ConvNext-B","wrsa","1",0.699281275775417,9,0.670686668638677,0.666476160145954
"ImageNet21K","ConvNext-B","wrsa","2",0.718026288639708,9,0.670686668638677,0.682773423345787
"ImageNet21K","ConvNext-B","wrsa","5",0.696144237933854,9,0.670686668638677,0.727067243648745
"ImageNet21K","ConvNext-B","wrsa","7",0.695985758434909,9,0.670686668638677,0.606429847414221
"ImageNet1K","ConvNext-L","wrsa","2",0.660001957395538,4,0.670686668638677,0.682773423345787
"ImageNet1K","ConvNext-L","wrsa","1",0.660710778919003,4,0.670686668638677,0.666476160145954
"ImageNet1K","ConvNext-L","wrsa","5",0.63965133998473,4,0.670686668638677,0.727067243648745
"ImageNet1K","ConvNext-L","wrsa","7",0.65370317193844,4,0.670686668638677,0.606429847414221
"ImageNet21K","ConvNext-L","wrsa","1",0.71266302495812,4,0.670686668638677,0.666476160145954
"ImageNet21K","ConvNext-L","wrsa","2",0.705696296634079,4,0.670686668638677,0.682773423345787
"ImageNet21K","ConvNext-L","wrsa","7",0.70583053247045,4,0.670686668638677,0.606429847414221
"ImageNet21K","ConvNext-L","wrsa","5",0.698714670472608,4,0.670686668638677,0.727067243648745
"ImageNet1K","MLP-Mixer-B16","wrsa","2",0.664558854705615,7,0.670686668638677,0.682773423345787
"ImageNet1K","MLP-Mixer-B16","wrsa","1",0.667929023867156,7,0.670686668638677,0.666476160145954
"ImageNet1K","MLP-Mixer-B16","wrsa","5",0.658207184501602,7,0.670686668638677,0.727067243648745
"ImageNet1K","MLP-Mixer-B16","wrsa","7",0.65868012611992,7,0.670686668638677,0.606429847414221
"ImageNet21K","MLP-Mixer-B16","wrsa","1",0.639181977891572,7,0.670686668638677,0.666476160145954
"ImageNet21K","MLP-Mixer-B16","wrsa","2",0.642194199724535,7,0.670686668638677,0.682773423345787
"ImageNet21K","MLP-Mixer-B16","wrsa","5",0.632090373516854,7,0.670686668638677,0.727067243648745
"ImageNet21K","MLP-Mixer-B16","wrsa","7",0.649383392489223,7,0.670686668638677,0.606429847414221
"ImageNet1K","MLP-Mixer-L16","wrsa","1",0.674742134858367,8,0.670686668638677,0.666476160145954
"ImageNet1K","MLP-Mixer-L16","wrsa","2",0.657114715249273,8,0.670686668638677,0.682773423345787
"ImageNet1K","MLP-Mixer-L16","wrsa","5",0.665643746205355,8,0.670686668638677,0.727067243648745
"ImageNet1K","MLP-Mixer-L16","wrsa","7",0.673345543629454,8,0.670686668638677,0.606429847414221
"ImageNet21K","MLP-Mixer-L16","wrsa","5",0.671523444893078,8,0.670686668638677,0.727067243648745
"ImageNet21K","MLP-Mixer-L16","wrsa","7",0.690650563705284,8,0.670686668638677,0.606429847414221
"ImageNet21K","MLP-Mixer-L16","wrsa","1",0.681929317363561,8,0.670686668638677,0.666476160145954
"ImageNet21K","MLP-Mixer-L16","wrsa","2",0.676246906051781,8,0.670686668638677,0.682773423345787
"ImageNet1K","ResMLP-Big-24","wrsa","5",0.693653873247167,12,0.670686668638677,0.727067243648745
"ImageNet1K","ResMLP-Big-24","wrsa","7",0.685231361214916,12,0.670686668638677,0.606429847414221
"ImageNet1K","ResMLP-Big-24","wrsa","1",0.701290505816017,12,0.670686668638677,0.666476160145954
"ImageNet1K","ResMLP-Big-24","wrsa","2",0.705851772367352,12,0.670686668638677,0.682773423345787
"ImageNet21K","ResMLP-Big-24","wrsa","2",0.709232347211617,12,0.670686668638677,0.682773423345787
"ImageNet21K","ResMLP-Big-24","wrsa","1",0.704052850080383,12,0.670686668638677,0.666476160145954
"ImageNet21K","ResMLP-Big-24","wrsa","7",0.695335953977217,12,0.670686668638677,0.606429847414221
"ImageNet21K","ResMLP-Big-24","wrsa","5",0.710937470834079,12,0.670686668638677,0.727067243648745
"ImageNet1K","Swin-B-P4-W7","wrsa","2",0.681260896531375,10,0.670686668638677,0.682773423345787
"ImageNet1K","Swin-B-P4-W7","wrsa","7",0.67390812044914,10,0.670686668638677,0.606429847414221
"ImageNet1K","Swin-B-P4-W7","wrsa","1",0.680524339948676,10,0.670686668638677,0.666476160145954
"ImageNet1K","Swin-B-P4-W7","wrsa","5",0.679890102485301,10,0.670686668638677,0.727067243648745
"ImageNet21K","Swin-B-P4-W7","wrsa","1",0.700718826485009,10,0.670686668638677,0.666476160145954
"ImageNet21K","Swin-B-P4-W7","wrsa","5",0.702494988391764,10,0.670686668638677,0.727067243648745
"ImageNet21K","Swin-B-P4-W7","wrsa","7",0.695666439099667,10,0.670686668638677,0.606429847414221
"ImageNet21K","Swin-B-P4-W7","wrsa","2",0.702398935426683,10,0.670686668638677,0.682773423345787
"ImageNet1K","Swin-L-P4-W7","wrsa","1",0.689977915594969,11,0.670686668638677,0.666476160145954
"ImageNet1K","Swin-L-P4-W7","wrsa","2",0.694322941769305,11,0.670686668638677,0.682773423345787
"ImageNet1K","Swin-L-P4-W7","wrsa","5",0.674982943373602,11,0.670686668638677,0.727067243648745
"ImageNet1K","Swin-L-P4-W7","wrsa","7",0.681168065049854,11,0.670686668638677,0.606429847414221
"ImageNet21K","Swin-L-P4-W7","wrsa","7",0.679722475226994,11,0.670686668638677,0.606429847414221
"ImageNet21K","Swin-L-P4-W7","wrsa","2",0.706176047652175,11,0.670686668638677,0.682773423345787
"ImageNet21K","Swin-L-P4-W7","wrsa","1",0.694598027003185,11,0.670686668638677,0.666476160145954
"ImageNet21K","Swin-L-P4-W7","wrsa","5",0.720457935019345,11,0.670686668638677,0.727067243648745
"ImageNet1K","ViT-B-P16","wrsa","1",0.65316804780248,5,0.670686668638677,0.666476160145954
"ImageNet1K","ViT-B-P16","wrsa","2",0.664219803297571,5,0.670686668638677,0.682773423345787
"ImageNet1K","ViT-B-P16","wrsa","5",0.655350158130616,5,0.670686668638677,0.727067243648745
"ImageNet1K","ViT-B-P16","wrsa","7",0.655913577910798,5,0.670686668638677,0.606429847414221
"ImageNet21K","ViT-B-P16","wrsa","5",0.682806408829346,5,0.670686668638677,0.727067243648745
"ImageNet21K","ViT-B-P16","wrsa","1",0.671303458886032,5,0.670686668638677,0.666476160145954
"ImageNet21K","ViT-B-P16","wrsa","2",0.67818277290893,5,0.670686668638677,0.682773423345787
"ImageNet21K","ViT-B-P16","wrsa","7",0.677154583399903,5,0.670686668638677,0.606429847414221
"ImageNet1K","ViT-B-P32","wrsa","1",0.662010544071706,6,0.670686668638677,0.666476160145954
"ImageNet1K","ViT-B-P32","wrsa","2",0.655162029272717,6,0.670686668638677,0.682773423345787
"ImageNet1K","ViT-B-P32","wrsa","7",0.666019514919263,6,0.670686668638677,0.606429847414221
"ImageNet1K","ViT-B-P32","wrsa","5",0.659731434683349,6,0.670686668638677,0.727067243648745
"ImageNet21K","ViT-B-P32","wrsa","1",0.637345122441193,6,0.670686668638677,0.666476160145954
"ImageNet21K","ViT-B-P32","wrsa","2",0.638291603967529,6,0.670686668638677,0.682773423345787
"ImageNet21K","ViT-B-P32","wrsa","7",0.660290370832559,6,0.670686668638677,0.606429847414221
"ImageNet21K","ViT-B-P32","wrsa","5",0.671454431045072,6,0.670686668638677,0.727067243648745
"ImageNet1K","ViT-L-P16","wrsa","1",0.65196951361553,3,0.670686668638677,0.666476160145954
"ImageNet1K","ViT-L-P16","wrsa","2",0.643459099200443,3,0.670686668638677,0.682773423345787
"ImageNet1K","ViT-L-P16","wrsa","5",0.639025140244922,3,0.670686668638677,0.727067243648745
"ImageNet1K","ViT-L-P16","wrsa","7",0.656030431389924,3,0.670686668638677,0.606429847414221
"ImageNet21K","ViT-L-P16","wrsa","2",0.639766117270543,3,0.670686668638677,0.682773423345787
"ImageNet21K","ViT-L-P16","wrsa","7",0.660948851027196,3,0.670686668638677,0.606429847414221
"ImageNet21K","ViT-L-P16","wrsa","5",0.681831054365155,3,0.670686668638677,0.727067243648745
"ImageNet21K","ViT-L-P16","wrsa","1",0.669987196084043,3,0.670686668638677,0.666476160145954
"ImageNet1K","ViT-S-P16","wrsa","1",0.634610349840534,2,0.670686668638677,0.666476160145954
"ImageNet1K","ViT-S-P16","wrsa","7",0.646498964018927,2,0.670686668638677,0.606429847414221
"ImageNet1K","ViT-S-P16","wrsa","2",0.647124951008999,2,0.670686668638677,0.682773423345787
"ImageNet1K","ViT-S-P16","wrsa","5",0.660950388330676,2,0.670686668638677,0.727067243648745
"ImageNet21K","ViT-S-P16","wrsa","7",0.64204126037401,2,0.670686668638677,0.606429847414221
"ImageNet21K","ViT-S-P16","wrsa","1",0.624637029159016,2,0.670686668638677,0.666476160145954
"ImageNet21K","ViT-S-P16","wrsa","2",0.654672574360915,2,0.670686668638677,0.682773423345787
"ImageNet21K","ViT-S-P16","wrsa","5",0.659230385502052,2,0.670686668638677,0.727067243648745
"ImageNet1K","ViT-S-P32","wrsa","7",0.654190761401069,1,0.670686668638677,0.606429847414221
"ImageNet1K","ViT-S-P32","wrsa","1",0.642820409601004,1,0.670686668638677,0.666476160145954
"ImageNet1K","ViT-S-P32","wrsa","2",0.638402953206459,1,0.670686668638677,0.682773423345787
"ImageNet1K","ViT-S-P32","wrsa","5",0.618065368808208,1,0.670686668638677,0.727067243648745
"ImageNet21K","ViT-S-P32","wrsa","1",0.660547706826105,1,0.670686668638677,0.666476160145954
"ImageNet21K","ViT-S-P32","wrsa","7",0.66322951374975,1,0.670686668638677,0.606429847414221
"ImageNet21K","ViT-S-P32","wrsa","2",0.63652305666805,1,0.670686668638677,0.682773423345787
"ImageNet21K","ViT-S-P32","wrsa","5",0.65502326333894,1,0.670686668638677,0.727067243648745
