"voxel_id","ncsnr","subj_id","x","y","z"
"S1-16-28-42",0.208155170083046,1,16,28,42
"S1-16-28-43",0.301754385232925,1,16,28,43
"S1-16-28-44",0.322195529937744,1,16,28,44
"S1-16-28-45",0.262022882699966,1,16,28,45
"S1-16-31-32",0.248117357492447,1,16,31,32
"S1-17-15-39",0.508237063884735,1,17,15,39
"S1-17-15-42",0.508129775524139,1,17,15,42
"S1-17-15-43",0.421623110771179,1,17,15,43
"S1-17-15-44",0.422725588083267,1,17,15,44
"S1-17-15-45",0.731762826442719,1,17,15,45
"S1-17-15-47",0.583689749240875,1,17,15,47
"S1-17-15-48",0.400718957185745,1,17,15,48
"S1-17-15-49",0.40025794506073,1,17,15,49
"S1-17-16-36",0.244332686066628,1,17,16,36
"S1-17-16-39",0.483094334602356,1,17,16,39
"S1-17-16-42",0.457188069820404,1,17,16,42
"S1-17-16-43",0.526828408241272,1,17,16,43
"S1-17-16-44",0.749450922012329,1,17,16,44
"S1-17-16-45",1.00907230377197,1,17,16,45
"S1-17-16-46",0.78938752412796,1,17,16,46
"S1-17-16-47",0.570061266422272,1,17,16,47
"S1-17-16-48",0.452293962240219,1,17,16,48
"S1-17-16-49",0.377112179994583,1,17,16,49
"S1-17-16-50",0.427741497755051,1,17,16,50
"S1-17-17-35",0.343583345413208,1,17,17,35
"S1-17-17-36",0.261324912309647,1,17,17,36
"S1-17-17-39",0.353945851325989,1,17,17,39
"S1-17-17-41",0.693566858768463,1,17,17,41
"S1-17-17-42",0.345065206289291,1,17,17,42
"S1-17-17-43",0.406258255243301,1,17,17,43
"S1-17-17-44",0.421681821346283,1,17,17,44
"S1-17-17-45",0.412678360939026,1,17,17,45
"S1-17-17-46",0.352073967456818,1,17,17,46
"S1-17-17-47",0.30691385269165,1,17,17,47
"S1-17-17-48",0.36580565571785,1,17,17,48
"S1-17-17-49",0.306721180677414,1,17,17,49
"S1-17-17-50",0.391392827033997,1,17,17,50
"S1-17-18-34",0.31413659453392,1,17,18,34
"S1-17-18-35",0.220398753881454,1,17,18,35
"S1-17-18-36",0.224262550473213,1,17,18,36
"S1-17-18-37",0.215400263667107,1,17,18,37
"S1-17-18-38",0.260966926813126,1,17,18,38
"S1-17-18-39",0.37969309091568,1,17,18,39
"S1-17-18-40",0.347576856613159,1,17,18,40
"S1-17-18-41",0.317150741815567,1,17,18,41
"S1-17-18-42",0.574679911136627,1,17,18,42
"S1-17-18-48",0.546254575252533,1,17,18,48
"S1-17-18-49",0.455853581428528,1,17,18,49
"S1-17-18-50",0.448859423398972,1,17,18,50
"S1-17-19-34",0.369632482528687,1,17,19,34
"S1-17-19-35",0.378724336624146,1,17,19,35
"S1-17-19-36",0.303238481283188,1,17,19,36
"S1-17-19-37",0.277327984571457,1,17,19,37
"S1-17-19-38",0.401512295007706,1,17,19,38
"S1-17-19-39",0.419070839881897,1,17,19,39
"S1-17-19-40",0.249740421772003,1,17,19,40
"S1-17-19-41",0.468071132898331,1,17,19,41
"S1-17-19-42",0.70081239938736,1,17,19,42
"S1-17-19-43",0.73845624923706,1,17,19,43
"S1-17-19-44",0.611130356788635,1,17,19,44
"S1-17-19-45",1.0675505399704,1,17,19,45
"S1-17-19-46",0.485298573970795,1,17,19,46
"S1-17-19-48",0.666357219219208,1,17,19,48
"S1-17-19-49",0.500710546970367,1,17,19,49
"S1-17-19-51",0.328748255968094,1,17,19,51
"S1-17-20-35",0.511711061000824,1,17,20,35
"S1-17-20-36",0.46591055393219,1,17,20,36
"S1-17-20-37",0.304750263690948,1,17,20,37
"S1-17-20-38",0.383494019508362,1,17,20,38
