"model1","model2","correlation","metric"
"RegNet-64Gf-SEER-INFT_seer","mixer_b16_224_classification",0.521799551930724,"crsa"
"RegNet-64Gf-SEER-INFT_seer","resmlp_big_24_224_classification",0.394825026656165,"crsa"
"RegNet-64Gf-SEER-INFT_seer","mobilenetv3_large_100_classification",0.653581344661856,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Abstraction_bit_expert",0.591987974893214,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Relation_bit_expert",0.539233683625439,"crsa"
"RegNet-64Gf-SEER-INFT_seer","xception_classification",0.505952267946542,"crsa"
"RegNet-64Gf-SEER-INFT_seer","efficientnet_b3_classification",0.372896565736761,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ResNet50-BarlowTwins-BS2048_selfsupervised",0.141405983502595,"crsa"
"RegNet-64Gf-SEER-INFT_seer","resmlp_36_224_classification",0.526650818830278,"crsa"
"RegNet-64Gf-SEER-INFT_seer","nf_resnet50_classification",0.643804700272723,"crsa"
"RegNet-64Gf-SEER-INFT_seer","levit_128_classification",0.570661110080927,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Arthropod_bit_expert",0.538580023065614,"crsa"
"RegNet-64Gf-SEER-INFT_seer","resmlp_12_224_classification",0.1832820867439,"crsa"
"RegNet-64Gf-SEER-INFT_seer","nfnet_l0_classification",0.647314798367563,"crsa"
"RegNet-64Gf-SEER-INFT_seer","retinanet_R_50_FPN_3x_detection",0.511026690491465,"crsa"
"RegNet-64Gf-SEER-INFT_seer","yolov5s_yolo",0.515531589503852,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-S-SimCLR_slip",0.415720941947569,"crsa"
"RegNet-64Gf-SEER-INFT_seer","swin_base_patch4_window7_224_classification",0.362944928721319,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-B-SLIP_slip",0.50721180061293,"crsa"
"RegNet-64Gf-SEER-INFT_seer","convnext_base_classification",0.545736400031103,"crsa"
"RegNet-64Gf-SEER-INFT_seer","yolov5m_yolo",0.549282157151027,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Vehicle_bit_expert",0.55120564628201,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-S-SLIP_slip",0.459047161532679,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-L/14_clip",0.415908324559573,"crsa"
"RegNet-64Gf-SEER-INFT_seer","alexnet_classification",0.498801386619393,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ResNet50-ClusterFit-16K-RotNet_selfsupervised",0.452215183775745,"crsa"
"RegNet-64Gf-SEER-INFT_seer","semnasnet_100_classification",0.480103528313141,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-L-SimCLR_slip",0.396052754301732,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Bird_bit_expert",0.56524014670605,"crsa"
"RegNet-64Gf-SEER-INFT_seer","squeezenet1_0_classification",0.449544555094747,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Food_bit_expert",0.52414672963884,"crsa"
"RegNet-64Gf-SEER-INFT_seer","RegNet-128Gf-SEER_seer",0.546010891419537,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_base_r50_s16_224_in21k_classification",0.565332548439088,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-L-SLIP_slip",0.3224203051053,"crsa"
"RegNet-64Gf-SEER-INFT_seer","dla34_classification",0.54720219026742,"crsa"
"RegNet-64Gf-SEER-INFT_seer","RN101_clip",0.347635950933973,"crsa"
"RegNet-64Gf-SEER-INFT_seer","eca_nfnet_l0_classification",0.466537192673914,"crsa"
"RegNet-64Gf-SEER-INFT_seer","regnety_064_classification",0.191296638450929,"crsa"
"RegNet-64Gf-SEER-INFT_seer","hardcorenas_a_classification",0.593448287728358,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_large_patch16_224_classification",0.523092424857513,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_base_patch16_224_classification",0.545181271230334,"crsa"
"RegNet-64Gf-SEER-INFT_seer","convnext_large_in22k_classification",0.205411852805206,"crsa"
"RegNet-64Gf-SEER-INFT_seer","crossvit_base_240_classification",0.460422769214505,"crsa"
"RegNet-64Gf-SEER-INFT_seer","resnet50_classification",0.514908889502865,"crsa"
"RegNet-64Gf-SEER-INFT_seer","xcit_nano_12_p8_224_classification",0.586553428358234,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_small_patch16_224_in21k_classification",0.512557889742298,"crsa"
"RegNet-64Gf-SEER-INFT_seer","swin_tiny_patch4_window7_224_classification",0.298496541042095,"crsa"
"RegNet-64Gf-SEER-INFT_seer","faster_rcnn_R_50_FPN_3x_detection",0.51745596339688,"crsa"
"RegNet-64Gf-SEER-INFT_seer","skresnext50_32x4d_classification",0.428509299439603,"crsa"
"RegNet-64Gf-SEER-INFT_seer","shufflenet_v2_x1_0_classification",0.531814263101132,"crsa"
"RegNet-64Gf-SEER-INFT_seer","keypoint_rcnn_R_50_FPN_3x_segmentation",0.429433440850472,"crsa"
"RegNet-64Gf-SEER-INFT_seer","mnasnet1_0_classification",0.214104413938422,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_small_patch32_224_classification",0.456568441991533,"crsa"
"RegNet-64Gf-SEER-INFT_seer","deit_base_patch16_224_classification",0.454693137448736,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-B-CLIP_slip",0.312241536632877,"crsa"
"RegNet-64Gf-SEER-INFT_seer","convit_base_classification",0.465602392466846,"crsa"
"RegNet-64Gf-SEER-INFT_seer","poolformer_s36_classification",0.461460568878562,"crsa"
"RegNet-64Gf-SEER-INFT_seer","xcit_nano_12_p16_224_classification",0.586296506813297,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Instrument_bit_expert",0.561079137288822,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-L-CLIP_slip",0.312184387739078,"crsa"
"RegNet-64Gf-SEER-INFT_seer","resmlp_big_24_224_in22ft1k_classification",0.579753124313363,"crsa"
"RegNet-64Gf-SEER-INFT_seer","pit_ti_224_classification",0.5546914072472,"crsa"
"RegNet-64Gf-SEER-INFT_seer","swin_large_patch4_window7_224_in22k_classification",0.312920102811791,"crsa"
"RegNet-64Gf-SEER-INFT_seer","resnet101_classification",0.403175019600689,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_small_patch16_224_classification",0.555996897028777,"crsa"
"RegNet-64Gf-SEER-INFT_seer","convit_tiny_classification",0.570053208392667,"crsa"
"RegNet-64Gf-SEER-INFT_seer","inception_v3_classification",0.480768719452919,"crsa"
"RegNet-64Gf-SEER-INFT_seer","RegNet-32Gf-SEER-INFT_seer",0.394791320212751,"crsa"
"RegNet-64Gf-SEER-INFT_seer","vit_large_patch16_224_in21k_classification",0.528959818008193,"crsa"
"RegNet-64Gf-SEER-INFT_seer","RegNet-128Gf-SEER-INFT_seer",0.465558764081192,"crsa"
"RegNet-64Gf-SEER-INFT_seer","ViT-L-CLIP-CC12M_slip",0.367504065875726,"crsa"
"RegNet-64Gf-SEER-INFT_seer","BiT-Expert-ResNet-V2-Flower_bit_expert",0.566378074963043,"crsa"
"RegNet-64Gf-SEER-INFT_seer","gmlp_s16_224_classification",0.624618653806054,"crsa"
"RegNet-64Gf-SEER-INFT_seer","cspresnet50_classification",0.482761055278832,"crsa"
"RegNet-64Gf-SEER-INFT_seer","resmlp_24_224_classification",0.371004979133541,"crsa"
"RegNet-64Gf-SEER-INFT_seer","swin_large_patch4_window7_224_classification",0.225818228135994,"crsa"
"ViT-B/32_clip","regnetx_064_classification",0.363510868556277,"crsa"
"ViT-B/32_clip","seresnext50_32x4d_classification",0.515861308077061,"crsa"
"ViT-B/32_clip","yolov5l_yolo",0.533782370649018,"crsa"
"ViT-B/32_clip","resnet152_classification",0.432120618509965,"crsa"
"ViT-B/32_clip","visformer_small_classification",0.473415843200475,"crsa"
"ViT-B/32_clip","mixer_l16_224_in21k_classification",0.380591997729469,"crsa"
"ViT-B/32_clip","dino_vitb16_selfsupervised",0.630428569556951,"crsa"
"ViT-B/32_clip","gmixer_24_224_classification",0.574385153126052,"crsa"
"ViT-B/32_clip","ResNet50-SimCLR_selfsupervised",0.599672864238333,"crsa"
"ViT-B/32_clip","convmixer_768_32_classification",0.466521750983583,"crsa"
"ViT-B/32_clip","vit_base_patch32_224_classification",0.530073074319723,"crsa"
"ViT-B/32_clip","vgg16_classification",0.552393610080689,"crsa"
"ViT-B/32_clip","googlenet_classification",0.461702199088683,"crsa"
"ViT-B/32_clip","vit_base_patch16_224_in21k_classification",0.556423263083215,"crsa"
"ViT-B/32_clip","hardcorenas_f_classification",0.549998400684292,"crsa"
"ViT-B/32_clip","ResNet50-PIRL_selfsupervised",0.527787325475819,"crsa"
"ViT-B/32_clip","ResNet50-DeepClusterV2-2x224+6x96_selfsupervised",0.453984585555126,"crsa"
"ViT-B/32_clip","dino_resnet50_selfsupervised",0.552508383105322,"crsa"
"ViT-B/32_clip","mobilenet_v2_classification",0.523450656921615,"crsa"
"ViT-B/32_clip","pit_b_224_classification",0.45950485830116,"crsa"
"ViT-B/32_clip","mixer_b16_224_in21k_classification",0.454328870823128,"crsa"
"ViT-B/32_clip","RN50_clip",0.610830954079465,"crsa"
"ViT-B/32_clip","BiT-Expert-ResNet-V2-Mammal_bit_expert",0.512316858022953,"crsa"
"ViT-B/32_clip","RegNet-64Gf-SEER_seer",0.695457615031765,"crsa"
"ViT-B/32_clip","mixer_l16_224_classification",0.466722488090152,"crsa"
"ViT-B/32_clip","BiT-Expert-ResNet-V2-Animal_bit_expert",0.507263989915572,"crsa"
"ViT-B/32_clip","densenet121_classification",0.545554868485551,"crsa"
"ViT-B/32_clip","ViT-S-CLIP_slip",0.656877974682143,"crsa"
"ViT-B/32_clip","BiT-Expert-ResNet-V2-Object_bit_expert",0.540021204059137,"crsa"
"ViT-B/32_clip","tnt_s_patch16_224_classification",0.520502201907356,"crsa"
"ViT-B/32_clip","swin_base_patch4_window7_224_in22k_classification",0.445965751233083,"crsa"
"ViT-B/32_clip","ViT-B-SimCLR_slip",0.466998906898292,"crsa"
"ViT-B/32_clip","efficientnet_b1_classification",0.454975154116345,"crsa"
"ViT-B/32_clip","RegNet-32Gf-SEER_seer",0.66426390256269,"crsa"
"ViT-B/32_clip","vit_base_patch32_224_in21k_classification",0.538254547830268,"crsa"
"ViT-B/32_clip","ghostnet_100_classification",0.531786966497708,"crsa"
"ViT-B/32_clip","jx_nest_tiny_classification",0.454417926755346,"crsa"
"ViT-B/32_clip","ViT-B/16_clip",0.90103133262633,"crsa"
"ViT-B/32_clip","mask_rcnn_R_50_FPN_3x_segmentation",0.499201447642724,"crsa"
"ViT-B/32_clip","ViT-L-SLIP-CC12M_slip",0.636292856145256,"crsa"
"ViT-B/32_clip","ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised",0.530372297212885,"crsa"
"ViT-B/32_clip","coat_lite_tiny_classification",0.547215856499095,"crsa"
"ViT-B/32_clip","vit_small_patch32_224_in21k_classification",0.429545011455589,"crsa"
"ViT-B/32_clip","resnet18_classification",0.43005919027453,"crsa"
"ViT-B/32_clip","convnext_base_in22k_classification",0.43018150966724,"crsa"
"ViT-B/32_clip","mixer_b16_224_classification",0.547515497899375,"crsa"
"ViT-B/32_clip","resmlp_big_24_224_classification",0.518328372076912,"crsa"
"ViT-B/32_clip","mobilenetv3_large_100_classification",0.535645554382691,"crsa"
"ViT-B/32_clip","BiT-Expert-ResNet-V2-Abstraction_bit_expert",0.477659825514271,"crsa"
"ViT-B/32_clip","BiT-Expert-ResNet-V2-Relation_bit_expert",0.546544546640577,"crsa"
"ViT-B/32_clip","xception_classification",0.42728016886231,"crsa"
"ViT-B/32_clip","efficientnet_b3_classification",0.346929367868311,"crsa"
"ViT-B/32_clip","ResNet50-BarlowTwins-BS2048_selfsupervised",0.194739659600723,"crsa"
"ViT-B/32_clip","resmlp_36_224_classification",0.559213875178452,"crsa"
"ViT-B/32_clip","nf_resnet50_classification",0.564641659440711,"crsa"
"ViT-B/32_clip","levit_128_classification",0.52165358422629,"crsa"
"ViT-B/32_clip","BiT-Expert-ResNet-V2-Arthropod_bit_expert",0.518147291817435,"crsa"
"ViT-B/32_clip","resmlp_12_224_classification",0.367399398966312,"crsa"
"ViT-B/32_clip","nfnet_l0_classification",0.571702725093638,"crsa"
"ViT-B/32_clip","retinanet_R_50_FPN_3x_detection",0.534413857734973,"crsa"
"ViT-B/32_clip","yolov5s_yolo",0.546455387776928,"crsa"
"ViT-B/32_clip","ViT-S-SimCLR_slip",0.421946176854677,"crsa"
"ViT-B/32_clip","swin_base_patch4_window7_224_classification",0.563787215147366,"crsa"
"ViT-B/32_clip","ViT-B-SLIP_slip",0.735641286912469,"crsa"
"ViT-B/32_clip","convnext_base_classification",0.507689415212309,"crsa"
"ViT-B/32_clip","yolov5m_yolo",0.498080475515192,"crsa"
"ViT-B/32_clip","BiT-Expert-ResNet-V2-Vehicle_bit_expert",0.534909189766336,"crsa"
"ViT-B/32_clip","ViT-S-SLIP_slip",0.69459896332866,"crsa"
"ViT-B/32_clip","ViT-L/14_clip",0.815343425658257,"crsa"
