"model_string","metric","score","effective_dimensions","training"
"jx_nest_tiny_random","CRSA",0.0525605904987183,2.31096448669957,"Untrained"
"crossvit_base_240_random","CRSA",0.0532017504662578,15.965976983789,"Untrained"
"convit_base_random","CRSA",0.0532574336407786,15.2474112932841,"Untrained"
"visformer_small_random","CRSA",0.0533708803416315,8.57903159795676,"Untrained"
"deit_base_patch16_224_random","CRSA",0.0545362985766866,21.0676717599046,"Untrained"
"resmlp_12_224_random","CRSA",0.0552525635097467,23.8681332185534,"Untrained"
"googlenet_random","CRSA",0.0564195073398748,3.91194737986208,"Untrained"
"densenet121_random","CRSA",0.0566887004807191,1.29701215373783,"Untrained"
"poolformer_s36_random","CRSA",0.0574040880844803,26.8568914229598,"Untrained"
"resmlp_big_24_224_random","CRSA",0.0580344527462001,21.7479600925504,"Untrained"
"resmlp_24_224_random","CRSA",0.0586939909081681,21.7855393471696,"Untrained"
"resmlp_36_224_random","CRSA",0.0589731723077557,22.4517804042224,"Untrained"
"keypoints2d_taskonomy","CRSA",0.0596281879803069,1.19655279054977,"Taskonomy"
"vit_tiny_patch16_224_random","CRSA",0.0607946342274088,27.1563410141065,"Untrained"
"denoising_taskonomy","CRSA",0.0614605195964906,3.1352152934833,"Taskonomy"
"jigsaw_taskonomy","CRSA",0.0620318807403845,320.391453731628,"Taskonomy"
"xception_random","CRSA",0.0630226772371374,23.2136406819758,"Untrained"
"edge_texture_taskonomy","CRSA",0.0632708948734457,1.02089141441363,"Taskonomy"
"swin_large_patch4_window7_224_random","CRSA",0.0636480882278038,21.4497991314152,"Untrained"
"gmlp_s16_224_random","CRSA",0.0646245104712275,38.4156517827836,"Untrained"
"mnasnet1_0_random","CRSA",0.0653426626922753,12.9776122251692,"Untrained"
"eca_nfnet_l0_random","CRSA",0.0670492621045515,1.67663598890862,"Untrained"
"coat_lite_tiny_random","CRSA",0.0673297713485153,46.2839425298534,"Untrained"
"vit_small_patch32_224_random","CRSA",0.0675088435305148,21.6982453899142,"Untrained"
"pit_b_224_random","CRSA",0.0679405818943177,10.5720922758025,"Untrained"
"convit_tiny_random","CRSA",0.0687689140852061,17.4851595557556,"Untrained"
"vit_small_patch16_224_random","CRSA",0.0688983402541362,25.0928601775522,"Untrained"
"mixer_b16_224_random","CRSA",0.0693588336528996,83.6356973118149,"Untrained"
"squeezenet1_0_random","CRSA",0.0706880866805416,15.6801937722904,"Untrained"
"swin_base_patch4_window7_224_random","CRSA",0.0710217708491109,18.0993349466811,"Untrained"
"mixer_l16_224_random","CRSA",0.0720664532952614,105.430729304293,"Untrained"
"convnext_base_random","CRSA",0.0722350925578655,30.427905309768,"Untrained"
"gmixer_24_224_random","CRSA",0.0731319883822192,60.3061318653506,"Untrained"
"convnext_large_random","CRSA",0.0735227676567837,32.7980909226976,"Untrained"
"tnt_s_patch16_224_random","CRSA",0.0736280721806586,28.3741137274253,"Untrained"
"swin_tiny_patch4_window7_224_random","CRSA",0.0742393565845669,22.21884337856,"Untrained"
"autoencoding_taskonomy","CRSA",0.0766794642651252,37.4317786619831,"Taskonomy"
"efficientnet_b3_random","CRSA",0.0776257054185951,1.71793058889747,"Untrained"
"nfnet_l0_random","CRSA",0.07988541093869,2.38856801716959,"Untrained"
"segment_unsup2d_taskonomy","CRSA",0.0808930437044785,144.344482234225,"Taskonomy"
"nf_resnet50_random","CRSA",0.0833226902598482,3.5916595090167,"Untrained"
"egomotion_taskonomy","CRSA",0.0873840345132015,328.689716907748,"Taskonomy"
"vanishing_point_taskonomy","CRSA",0.0876787668773507,19.2984693066555,"Taskonomy"
"point_matching_taskonomy","CRSA",0.0934367868662969,204.523396138664,"Taskonomy"
"nonfixated_pose_taskonomy","CRSA",0.0949840851927135,241.548632536431,"Taskonomy"
"inpainting_taskonomy","CRSA",0.095016333714225,2.87306571090997,"Taskonomy"
"fixated_pose_taskonomy","CRSA",0.0989262328214812,283.35639309493,"Taskonomy"
"alexnet_gn_ipcl_vggface2","CRSA",0.101014602354822,22.306434125456,"VGGFace2"
"depth_zbuffer_taskonomy","CRSA",0.131795050245562,45.8279325436433,"Taskonomy"
"curvature_taskonomy","CRSA",0.131913838120402,4.76154600287257,"Taskonomy"
"room_layout_taskonomy","CRSA",0.137072420129858,237.033119388946,"Taskonomy"
"segment_semantic_taskonomy","CRSA",0.1442811263009,280.205283718739,"Taskonomy"
"class_scene_taskonomy","CRSA",0.146553658871821,106.23223329823,"Taskonomy"
"normal_taskonomy","CRSA",0.153572558260563,105.037395400915,"Taskonomy"
"reshading_taskonomy","CRSA",0.161052275206381,281.022484518711,"Taskonomy"
"edge_occlusion_taskonomy","CRSA",0.161763541809486,304.288195875953,"Taskonomy"
"keypoints3d_taskonomy","CRSA",0.16487126634867,293.698205941353,"Taskonomy"
"segment_unsup25d_taskonomy","CRSA",0.17107190357517,176.307234260531,"Taskonomy"
"depth_euclidean_taskonomy","CRSA",0.173323359615137,206.934856291327,"Taskonomy"
"class_object_taskonomy","CRSA",0.18923916050676,207.437629790787,"Taskonomy"
"MiDaS_monoculardepth","CRSA",0.199641580142373,70.3789318658206,"ImageNet+"
"mixer_l16_224_in21k_classification","CRSA",0.234487758898889,63.3007582555779,"ImageNet+"
"ResNet50-RotNet_selfsupervised","CRSA",0.238128720893577,3.24087664333879,"ImageNet+"
"alexnet_gn_ipcl_places256","CRSA",0.241788782168068,54.0414373256798,"Places256"
"convnext_large_classification","CRSA",0.243149109916857,266.087938700061,"ImageNet+"
"alexnet_gn_ipcl_openimages","CRSA",0.249447991311561,50.6666260758357,"OpenImages"
"ResNet50-JigSaw-Goyal19_selfsupervised","CRSA",0.256946126486895,86.7180275450225,"ImageNet+"
"DPT_Hybrid_monoculardepth","CRSA",0.265462834464265,68.1858428702074,"ImageNet+"
"ResNet50-MoCoV2-BS256_selfsupervised","CRSA",0.265504085415745,58.5750273250316,"ImageNet+"
"ResNet50-JigSaw-P100_selfsupervised","CRSA",0.266665973391301,45.559998551885,"ImageNet+"
"mixer_b16_224_in21k_classification","CRSA",0.26864952533446,156.859666851885,"ImageNet+"
"pit_b_224_classification","CRSA",0.271826037119732,260.644578873996,"ImageNet+"
"alexnet_gn_ipcl_imagenet","CRSA",0.272191057577333,52.645084759783,"ImageNet+"
"tnt_s_patch16_224_classification","CRSA",0.280892948739733,214.4743400026,"ImageNet+"
"swin_large_patch4_window7_224_classification","CRSA",0.282725557536005,164.428104307987,"ImageNet+"
"ViT-L-CLIP-CC12M_slip","CRSA",0.283097475470675,78.5010817791898,"ImageNet+"
"ViT-L-CLIP_slip","CRSA",0.28432126603456,89.7025943042492,"ImageNet+"
"convit_tiny_classification","CRSA",0.286469732026108,221.21767025149,"ImageNet+"
"vit_small_patch32_224_in21k_classification","CRSA",0.286559357719256,115.65346506312,"ImageNet+"
"ViT-L-SLIP-CC12M_slip","CRSA",0.286828273345008,71.5685523866596,"ImageNet+"
"vit_small_patch32_224_classification","CRSA",0.288815811224477,125.598571051766,"ImageNet+"
"vit_tiny_patch16_224_classification","CRSA",0.292787235092729,45.8969754799167,"ImageNet+"
"ViT-S-CLIP_slip","CRSA",0.293342267701608,68.1316568229727,"ImageNet+"
"ViT-B-CLIP_slip","CRSA",0.294206679038478,85.3979953522466,"ImageNet+"
"swin_base_patch4_window7_224_classification","CRSA",0.296324883667926,304.430736122061,"ImageNet+"
"convnext_base_classification","CRSA",0.298370451706448,220.43633432633,"ImageNet+"
"regnetx_064_classification","CRSA",0.303055881890433,78.7880743355735,"ImageNet+"
"vit_large_patch16_224_in21k_classification","CRSA",0.305537491484398,24.7979478707062,"ImageNet+"
