"model","display_name","train_task","contrast","subj_id","metric","score","rank"
"class_object","Object Classification","taskonomy","Taskonomy","2","wrsa",0.433769793065362,25
"class_object","Object Classification","taskonomy","Taskonomy","7","wrsa",0.413122567665065,25
"class_object","Object Classification","taskonomy","Taskonomy","5","wrsa",0.460926709585022,25
"class_scene","Scene Classification","taskonomy","Taskonomy","1","wrsa",0.407356710607295,24
"class_scene","Scene Classification","taskonomy","Taskonomy","7","wrsa",0.407620953282288,24
"class_scene","Scene Classification","taskonomy","Taskonomy","2","wrsa",0.431426725080124,24
"class_scene","Scene Classification","taskonomy","Taskonomy","5","wrsa",0.455609734167981,24
"curvature","Curvatures","taskonomy","Taskonomy","5","wrsa",0.330125341074457,16
"curvature","Curvatures","taskonomy","Taskonomy","1","wrsa",0.304539671531981,16
"curvature","Curvatures","taskonomy","Taskonomy","7","wrsa",0.301600089106587,16
"curvature","Curvatures","taskonomy","Taskonomy","2","wrsa",0.344305535887458,16
"denoising","Denoising","taskonomy","Taskonomy","1","wrsa",0.151071472720517,4
"denoising","Denoising","taskonomy","Taskonomy","2","wrsa",0.143443209302472,4
"denoising","Denoising","taskonomy","Taskonomy","5","wrsa",0.149689924333331,4
"denoising","Denoising","taskonomy","Taskonomy","7","wrsa",0.125631551325738,4
"depth_euclidean","Euclidean Depth","taskonomy","Taskonomy","1","wrsa",0.353566834263527,22
"depth_euclidean","Euclidean Depth","taskonomy","Taskonomy","2","wrsa",0.37602200965992,22
"depth_euclidean","Euclidean Depth","taskonomy","Taskonomy","5","wrsa",0.39171263583075,22
"depth_euclidean","Euclidean Depth","taskonomy","Taskonomy","7","wrsa",0.322965349135192,22
"depth_zbuffer","Z-Buffer Depth","taskonomy","Taskonomy","1","wrsa",0.326125202427477,18
"depth_zbuffer","Z-Buffer Depth","taskonomy","Taskonomy","2","wrsa",0.354085476567718,18
"depth_zbuffer","Z-Buffer Depth","taskonomy","Taskonomy","5","wrsa",0.339954599508612,18
"depth_zbuffer","Z-Buffer Depth","taskonomy","Taskonomy","7","wrsa",0.303387790436586,18
"edge_occlusion","Occlusion Edges","taskonomy","Taskonomy","7","wrsa",0.306325292777516,20
"edge_occlusion","Occlusion Edges","taskonomy","Taskonomy","1","wrsa",0.307362667791115,20
"edge_occlusion","Occlusion Edges","taskonomy","Taskonomy","2","wrsa",0.376854001412435,20
"edge_occlusion","Occlusion Edges","taskonomy","Taskonomy","5","wrsa",0.399827821512142,20
"edge_texture","Texture Edges","taskonomy","Taskonomy","1","wrsa",0.139771260132207,7
"edge_texture","Texture Edges","taskonomy","Taskonomy","2","wrsa",0.188523615858216,7
"edge_texture","Texture Edges","taskonomy","Taskonomy","5","wrsa",0.169339004437958,7
"edge_texture","Texture Edges","taskonomy","Taskonomy","7","wrsa",0.166508841691622,7
"egomotion","Egomotion","taskonomy","Taskonomy","2","wrsa",0.210174619911611,11
"egomotion","Egomotion","taskonomy","Taskonomy","1","wrsa",0.185138565289169,11
"egomotion","Egomotion","taskonomy","Taskonomy","5","wrsa",0.214375423181341,11
"egomotion","Egomotion","taskonomy","Taskonomy","7","wrsa",0.180254900435914,11
"fixated_pose","Camera Pose (Fixated)","taskonomy","Taskonomy","2","wrsa",0.238056169516559,13
"fixated_pose","Camera Pose (Fixated)","taskonomy","Taskonomy","1","wrsa",0.248123717163377,13
"fixated_pose","Camera Pose (Fixated)","taskonomy","Taskonomy","5","wrsa",0.251132020158742,13
"fixated_pose","Camera Pose (Fixated)","taskonomy","Taskonomy","7","wrsa",0.206398960559713,13
"inpainting","Inpainting","taskonomy","Taskonomy","1","wrsa",0.190926779893236,10
"inpainting","Inpainting","taskonomy","Taskonomy","7","wrsa",0.156671896754172,10
"inpainting","Inpainting","taskonomy","Taskonomy","5","wrsa",0.188275210831235,10
"inpainting","Inpainting","taskonomy","Taskonomy","2","wrsa",0.244824573445901,10
"jigsaw","Jigsaw","taskonomy","Taskonomy","2","wrsa",0.162490696637355,6
"jigsaw","Jigsaw","taskonomy","Taskonomy","7","wrsa",0.122174099675321,6
"jigsaw","Jigsaw","taskonomy","Taskonomy","1","wrsa",0.153418107378785,6
"jigsaw","Jigsaw","taskonomy","Taskonomy","5","wrsa",0.18232969677104,6
"keypoints2d","2D Keypoints","taskonomy","Taskonomy","1","wrsa",0.111750606986985,2
"keypoints2d","2D Keypoints","taskonomy","Taskonomy","2","wrsa",0.132818361404943,2
"keypoints2d","2D Keypoints","taskonomy","Taskonomy","5","wrsa",0.131674017034876,2
"keypoints2d","2D Keypoints","taskonomy","Taskonomy","7","wrsa",0.09579125026983,2
"keypoints3d","3D Keypoints","taskonomy","Taskonomy","2","wrsa",0.360921577609752,23
"keypoints3d","3D Keypoints","taskonomy","Taskonomy","5","wrsa",0.388812949235209,23
"keypoints3d","3D Keypoints","taskonomy","Taskonomy","7","wrsa",0.327413831925552,23
"keypoints3d","3D Keypoints","taskonomy","Taskonomy","1","wrsa",0.369584103652004,23
"nonfixated_pose","Camera Pose (Nonfixated)","taskonomy","Taskonomy","7","wrsa",0.158432682922284,5
"nonfixated_pose","Camera Pose (Nonfixated)","taskonomy","Taskonomy","1","wrsa",0.155282777471351,5
"nonfixated_pose","Camera Pose (Nonfixated)","taskonomy","Taskonomy","2","wrsa",0.149865442248941,5
"nonfixated_pose","Camera Pose (Nonfixated)","taskonomy","Taskonomy","5","wrsa",0.149775484037806,5
"normal","Surface Normals","taskonomy","Taskonomy","7","wrsa",0.307266205657708,19
"normal","Surface Normals","taskonomy","Taskonomy","5","wrsa",0.352639209101295,19
"normal","Surface Normals","taskonomy","Taskonomy","2","wrsa",0.358694036976923,19
"normal","Surface Normals","taskonomy","Taskonomy","1","wrsa",0.33619260816271,19
"point_matching","Point Matching","taskonomy","Taskonomy","7","wrsa",0.210422382249359,12
"point_matching","Point Matching","taskonomy","Taskonomy","1","wrsa",0.221047694357459,12
"point_matching","Point Matching","taskonomy","Taskonomy","2","wrsa",0.20456571161735,12
"point_matching","Point Matching","taskonomy","Taskonomy","5","wrsa",0.226075030267035,12
"random_weights","Random Weights","taskonomy","Taskonomy","5","wrsa",0.123115715129091,3
"random_weights","Random Weights","taskonomy","Taskonomy","1","wrsa",0.137293557059671,3
"random_weights","Random Weights","taskonomy","Taskonomy","2","wrsa",0.111770538167491,3
"random_weights","Random Weights","taskonomy","Taskonomy","7","wrsa",0.126191593679174,3
"reshading","Reshading","taskonomy","Taskonomy","2","wrsa",0.375664826117985,21
"reshading","Reshading","taskonomy","Taskonomy","5","wrsa",0.372430894495598,21
"reshading","Reshading","taskonomy","Taskonomy","7","wrsa",0.341172390206919,21
"reshading","Reshading","taskonomy","Taskonomy","1","wrsa",0.342144596819332,21
"room_layout","Room Layout","taskonomy","Taskonomy","1","wrsa",0.292457808430415,14
"room_layout","Room Layout","taskonomy","Taskonomy","2","wrsa",0.328555662776623,14
"room_layout","Room Layout","taskonomy","Taskonomy","5","wrsa",0.339145368917323,14
"room_layout","Room Layout","taskonomy","Taskonomy","7","wrsa",0.274582760287955,14
"segment_semantic","Semantic Segmentation","taskonomy","Taskonomy","1","wrsa",0.318896984770008,17
"segment_semantic","Semantic Segmentation","taskonomy","Taskonomy","2","wrsa",0.343920314117275,17
"segment_semantic","Semantic Segmentation","taskonomy","Taskonomy","7","wrsa",0.294441849474703,17
"segment_semantic","Semantic Segmentation","taskonomy","Taskonomy","5","wrsa",0.340534345884095,17
"segment_unsup25d","Unsupervised 2.5D Segmentation","taskonomy","Taskonomy","5","wrsa",0.312555660178129,15
"segment_unsup25d","Unsupervised 2.5D Segmentation","taskonomy","Taskonomy","1","wrsa",0.319238532720467,15
"segment_unsup25d","Unsupervised 2.5D Segmentation","taskonomy","Taskonomy","2","wrsa",0.317452791784044,15
"segment_unsup25d","Unsupervised 2.5D Segmentation","taskonomy","Taskonomy","7","wrsa",0.302860989877813,15
"segment_unsup2d","Unsupervised 2D Segmentation","taskonomy","Taskonomy","7","wrsa",0.185015184949244,8
"segment_unsup2d","Unsupervised 2D Segmentation","taskonomy","Taskonomy","1","wrsa",0.155742767348323,8
"segment_unsup2d","Unsupervised 2D Segmentation","taskonomy","Taskonomy","2","wrsa",0.167005058273221,8
"segment_unsup2d","Unsupervised 2D Segmentation","taskonomy","Taskonomy","5","wrsa",0.170565654513903,8
"vanishing_point","Vanishing Point","taskonomy","Taskonomy","1","wrsa",0.140210638900475,9
"vanishing_point","Vanishing Point","taskonomy","Taskonomy","5","wrsa",0.186073575517973,9
"vanishing_point","Vanishing Point","taskonomy","Taskonomy","2","wrsa",0.227414849618791,9
"vanishing_point","Vanishing Point","taskonomy","Taskonomy","7","wrsa",0.180839060581879,9
"ResNet50-BarlowTwins-BS2048","BarlowTwins","selfsupervised","Contrastive","1","crsa",0.359126542255637,3
"ResNet50-BarlowTwins-BS2048","BarlowTwins","selfsupervised","Contrastive","2","crsa",0.384106896295006,3
"ResNet50-BarlowTwins-BS2048","BarlowTwins","selfsupervised","Contrastive","5","crsa",0.378616609542251,3
"ResNet50-BarlowTwins-BS2048","BarlowTwins","selfsupervised","Contrastive","7","crsa",0.346341944617747,3
"ResNet50-ClusterFit-16K-RotNet","ClusterFit-16K-RotNet","selfsupervised","Non-Contrastive","1","crsa",0.326955999595652,4
"ResNet50-ClusterFit-16K-RotNet","ClusterFit-16K-RotNet","selfsupervised","Non-Contrastive","2","crsa",0.330310067317773,4
"ResNet50-ClusterFit-16K-RotNet","ClusterFit-16K-RotNet","selfsupervised","Non-Contrastive","5","crsa",0.337533518658912,4
"ResNet50-ClusterFit-16K-RotNet","ClusterFit-16K-RotNet","selfsupervised","Non-Contrastive","7","crsa",0.31019829374709,4
"ResNet50-DeepClusterV2-2x224+6x96","DeepClusterV2","selfsupervised","Contrastive","5","crsa",0.327660579135242,5
"ResNet50-DeepClusterV2-2x224+6x96","DeepClusterV2","selfsupervised","Contrastive","1","crsa",0.32795816755904,5
"ResNet50-DeepClusterV2-2x224+6x96","DeepClusterV2","selfsupervised","Contrastive","2","crsa",0.343652008489981,5
"ResNet50-DeepClusterV2-2x224+6x96","DeepClusterV2","selfsupervised","Contrastive","7","crsa",0.319896389290355,5
"ResNet50-JigSaw-Goyal19","JigSaw-Goyal19","selfsupervised","Non-Contrastive","1","crsa",0.257363136357418,1
