"Model ID","Architecture","Train Task","Train Data","CRSA","WRSA"
"JX-NesT-Tiny","jx_nest_tiny","classification","imagenet",0.319318911168437,0.667807231703633
"MLP-Mixer-L16","mixer_l16_224","classification","imagenet",0.350827997602639,0.667711534985612
"VGG16","vgg16","classification","imagenet",0.341786478691858,0.66760877801388
"SKResNext50-32x4D","skresnext50_32x4d","classification","imagenet",0.355387632629078,0.666463666026049
"RetinaNet-ResNet50-FPN","retinanet_R_50_FPN_3x","detection","coco2017",0.357217188086672,0.66527166763575
"DLA34","dla34","classification","imagenet",0.358758579261343,0.665072185179771
"ViT-B-R50-S16-IN21K","vit_base_r50_s16_224","classification","imagenet21k",0.334441067885782,0.663970854542014
"ResNet101","resnet101","classification","imagenet",0.321730457432903,0.663434311447176
"ViT-L-P16-IN21K","vit_large_patch16_224","classification","imagenet21k",0.305537491484398,0.663133304686734
"MLP-Mixer-B16","mixer_b16_224","classification","imagenet",0.348874320187685,0.662343797298573
"PiT-T-224","pit_ti_224","classification","imagenet",0.394388362950118,0.662315711231154
"ResNet152","resnet152","classification","imagenet",0.348755843158559,0.662221249270844
"XCeption","xception","classification","imagenet",0.332479620839789,0.661419429960928
"Visformer","visformer_small","classification","imagenet",0.334100804761502,0.661018487752772
"ViT-B-P32","vit_base_patch32_224","classification","imagenet",0.385180952115794,0.660730880736759
"ShuffleNet-V2-x1.0","shufflenet_v2_x1_0","classification","imagenet",0.357103687443078,0.660366000117106
"TnT-P16-224","tnt_s_patch16_224","classification","imagenet",0.280892948739733,0.657387521482707
"ViT-B-P16","vit_base_patch16_224","classification","imagenet",0.318719878774665,0.657162896785366
"ViT-L-CLIP","ViT-L","slip","YFCC15M",0.28432126603456,0.655002821281638
"CrossViT-B","crossvit_base_240","classification","imagenet",0.314788230776295,0.654918666442799
"ViT-S-P32-IN21K","vit_small_patch32_224","classification","imagenet21k",0.286559357719256,0.653830885145711
"ConvNext-L","convnext_large","classification","imagenet",0.243149109916857,0.653516812059427
"ViT-B-P32-IN21K","vit_base_patch32_224","classification","imagenet21k",0.364406970599356,0.651845382071588
"ResNet18","resnet18","classification","imagenet",0.324664339591631,0.648354719706305
"ViT-L-P16","vit_large_patch16_224","classification","imagenet",0.31970548199914,0.647621046112705
"ViT-S-P16","vit_small_patch16_224","classification","imagenet",0.310563242421843,0.647296163299784
"ViT-S-P16-IN21K","vit_small_patch16_224","classification","imagenet21k",0.319211953497736,0.645145312348998
"Mixer-B16-IN22K","mixer_b16_224","classification","imagenet21k",0.26864952533446,0.640712485905546
"ViT-L-CLIP-CC12M","ViT-L","slip","YFCC15M",0.283097475470675,0.640342373786992
"DeiT-B-P16-224","deit_base_patch16_224","classification","imagenet",0.309274833725458,0.639529915944539
"ConViT-B","convit_base","classification","imagenet",0.34505962631262,0.638883090175434
"ViT-S-P32","vit_small_patch32_224","classification","imagenet",0.288815811224477,0.638369873254185
"PiT-B-224","pit_b_224","classification","imagenet",0.271826037119732,0.637994466852614
"AlexNet","alexnet","classification","imagenet",0.338324954990206,0.63339324352131
"ResNet50-ClusterFit-16K-RotNet","ResNet50","selfsupervised","imagenet",0.326249469829857,0.630281749582237
"ConViT-T","convit_tiny","classification","imagenet",0.286469732026108,0.628494206512124
"Keypoint-RCNN-ResNet50-FPN","keypoint_rcnn_R_50_FPN_3x","segmentation","coco2017",0.349293934695126,0.626937301298994
"SqueezeNet1.0","squeezenet1_0","classification","imagenet",0.322723104551099,0.622896447988761
"DPT-Hybrid","DPT_Hybrid","monoculardepth","MegaDepth+",0.265462834464265,0.620368535815224
"MiDaS","MiDaS","monoculardepth","MegaDepth+",0.199641580142373,0.618679797978706
"ResNet50-MoCoV2-BS256","ResNet50","selfsupervised","imagenet",0.265504085415745,0.610037999120178
"ViT-T-P16","vit_tiny_patch16_224","classification","imagenet",0.292787235092729,0.589880898576647
"ResNet50-JigSaw-P100","ResNet50","selfsupervised","imagenet",0.266665973391301,0.577186795648082
"ResNet50-RotNet","ResNet50","selfsupervised","imagenet",0.238128720893577,0.572062263675848
"ResNet50-JigSaw-Goyal19","ResNet50","selfsupervised","imagenet",0.256946126486895,0.564793138640511
"AlexNet-GN-IPCLImageNet","alexnet_gn","ipcl","imagenet",0.272191057577333,0.561646501496023
"AlexNet-GN-IPCLOpenImages","alexnet_gn","ipcl","openimages",0.249447991311561,0.516822703041956
"AlexNet-GN-IPCLPlaces256","alexnet_gn","ipcl","places256",0.241788782168068,0.49458977131199
"Object Classification","resnet50","taskonomy","taskonomy",0.18923916050676,0.435715092750933
"Scene Classification","resnet50","taskonomy","taskonomy",0.146553658871821,0.425503530784422
"3D Keypoints","resnet50","taskonomy","taskonomy",0.16487126634867,0.361683115605629
"Euclidean Depth","resnet50","taskonomy","taskonomy",0.173323359615137,0.361066707222347
"Reshading","resnet50","taskonomy","taskonomy",0.161052275206381,0.357853176909959
"Occlusion Edges","resnet50","taskonomy","taskonomy",0.161763541809486,0.347592445873302
"Surface Normals","resnet50","taskonomy","taskonomy",0.153572558260563,0.338698014974659
"Z-Buffer Depth","resnet50","taskonomy","taskonomy",0.131795050245562,0.330888267235098
"Semantic Segmentation","resnet50","taskonomy","taskonomy",0.1442811263009,0.32444837356152
"Curvatures","resnet50","taskonomy","taskonomy",0.131913838120402,0.320142659400121
"Unsupervised 2.5D Segmentation","resnet50","taskonomy","taskonomy",0.17107190357517,0.313026993640113
"Room Layout","resnet50","taskonomy","taskonomy",0.137072420129858,0.308685400103079
"AlexNet-GN-IPCLVGGFace2","alexnet_gn","ipcl","vggface2",0.101014602354822,0.289686661596372
"NF-ResNet50","nf_resnet50","random_weights",NA,0.0833226902598482,0.280178340781254
"Camera Pose (Fixated)","resnet50","taskonomy","taskonomy",0.0989262328214812,0.235927716849598
"Point Matching","resnet50","taskonomy","taskonomy",0.0934367868662969,0.215527704622801
"Egomotion","resnet50","taskonomy","taskonomy",0.0873840345132015,0.197485877204509
"Inpainting","resnet50","taskonomy","taskonomy",0.095016333714225,0.195174615231136
"Vanishing Point","resnet50","taskonomy","taskonomy",0.0876787668773507,0.183634531154779
