"model_string","training","depth_bin","metric","score"
"convnext_base_classification","Trained",1,"cRSA",0.119387169800758
"convnext_base_classification","Trained",1,"veRSA",0.554656715681623
"convnext_base_random","Untrained",0.55,"cRSA",0.0670500337507251
"convnext_base_random","Untrained",0.55,"veRSA",0.0911140695258097
"convnext_base_random","Untrained",0.6,"cRSA",0.0697934715884146
"convnext_base_random","Untrained",0.6,"veRSA",0.0934119920877609
"convnext_base_random","Untrained",0.65,"cRSA",0.0693132120297232
"convnext_base_random","Untrained",0.65,"veRSA",0.0917229429563826
"convnext_base_random","Untrained",0.7,"cRSA",0.0681613035143336
"convnext_base_random","Untrained",0.7,"veRSA",0.0897130784530853
"convnext_base_random","Untrained",0.75,"cRSA",0.0681464624593206
"convnext_base_random","Untrained",0.75,"veRSA",0.0923521763118783
"convnext_base_random","Untrained",0.8,"cRSA",0.069419581537051
"convnext_base_random","Untrained",0.8,"veRSA",0.089344030028965
"convnext_base_random","Untrained",0.85,"cRSA",0.0676926609842807
"convnext_base_random","Untrained",0.85,"veRSA",0.08970148773334
"convnext_base_random","Untrained",0.9,"cRSA",0.0682222960543928
"convnext_base_random","Untrained",0.9,"veRSA",0.0913787524621676
"convnext_base_random","Untrained",0.95,"cRSA",0.070067549247253
"convnext_base_random","Untrained",0.95,"veRSA",0.0882417464846274
"convnext_base_random","Untrained",1,"cRSA",0.0637126978215362
"convnext_base_random","Untrained",1,"veRSA",0.0705964303724792
"convnext_large_classification","Trained",0.55,"cRSA",0.168646699817223
"convnext_large_classification","Trained",0.55,"veRSA",0.568958405301779
"convnext_large_classification","Trained",0.6,"cRSA",0.143420111857169
"convnext_large_classification","Trained",0.6,"veRSA",0.50789774667244
"convnext_large_classification","Trained",0.65,"cRSA",0.128220729862356
"convnext_large_classification","Trained",0.65,"veRSA",0.487847546988305
"convnext_large_classification","Trained",0.7,"cRSA",0.140367378902708
"convnext_large_classification","Trained",0.7,"veRSA",0.551124449490296
"convnext_large_classification","Trained",0.75,"cRSA",0.117140309712722
"convnext_large_classification","Trained",0.75,"veRSA",0.526891468977547
"convnext_large_classification","Trained",0.8,"cRSA",0.108652396305015
"convnext_large_classification","Trained",0.8,"veRSA",0.524591386834221
"convnext_large_classification","Trained",0.85,"cRSA",0.106475985105565
"convnext_large_classification","Trained",0.85,"veRSA",0.551647524704058
"convnext_large_classification","Trained",0.9,"cRSA",0.0950337698755158
"convnext_large_classification","Trained",0.9,"veRSA",0.511122932676217
"convnext_large_classification","Trained",0.95,"cRSA",0.0923854801005562
"convnext_large_classification","Trained",0.95,"veRSA",0.542310881912635
"convnext_large_classification","Trained",1,"cRSA",0.11572152153163
"convnext_large_classification","Trained",1,"veRSA",0.533355972385312
"convnext_large_random","Untrained",0.55,"cRSA",0.0704692515984387
"convnext_large_random","Untrained",0.55,"veRSA",0.0957439273439132
"convnext_large_random","Untrained",0.6,"cRSA",0.0695753894129691
"convnext_large_random","Untrained",0.6,"veRSA",0.0950701542891281
"convnext_large_random","Untrained",0.65,"cRSA",0.0699934735096489
"convnext_large_random","Untrained",0.65,"veRSA",0.0942321019215573
"convnext_large_random","Untrained",0.7,"cRSA",0.071136144365457
"convnext_large_random","Untrained",0.7,"veRSA",0.0942397765827473
"convnext_large_random","Untrained",0.75,"cRSA",0.0702633748274399
"convnext_large_random","Untrained",0.75,"veRSA",0.0956020377835057
"convnext_large_random","Untrained",0.8,"cRSA",0.0703340206522168
"convnext_large_random","Untrained",0.8,"veRSA",0.096449858382017
"convnext_large_random","Untrained",0.85,"cRSA",0.0707332320761784
"convnext_large_random","Untrained",0.85,"veRSA",0.0944705173167848
"convnext_large_random","Untrained",0.9,"cRSA",0.0705316331878704
"convnext_large_random","Untrained",0.9,"veRSA",0.0911036268822193
"convnext_large_random","Untrained",0.95,"cRSA",0.0694396661275024
"convnext_large_random","Untrained",0.95,"veRSA",0.0936210829885927
"convnext_large_random","Untrained",1,"cRSA",0.0632766497794883
"convnext_large_random","Untrained",1,"veRSA",0.0753726907205483
"crossvit_base_240_classification","Trained",0.55,"cRSA",0.218534889541323
"crossvit_base_240_classification","Trained",0.55,"veRSA",0.513871315053786
"crossvit_base_240_classification","Trained",0.6,"cRSA",0.212948175150629
"crossvit_base_240_classification","Trained",0.6,"veRSA",0.52871418343274
"crossvit_base_240_classification","Trained",0.65,"cRSA",0.0730465558660107
"crossvit_base_240_classification","Trained",0.65,"veRSA",0.398665730392171
"crossvit_base_240_classification","Trained",0.7,"cRSA",0.12498654626269
"crossvit_base_240_classification","Trained",0.7,"veRSA",0.312766584108613
"crossvit_base_240_classification","Trained",0.75,"cRSA",0.218454419582292
"crossvit_base_240_classification","Trained",0.75,"veRSA",0.52788709552316
"crossvit_base_240_classification","Trained",0.8,"cRSA",0.223378814444573
"crossvit_base_240_classification","Trained",0.8,"veRSA",0.606887151117011
