"model_string","display_name","metric","score","rank","training"
"mnasnet1_0_random","MNASNet1.0","CRSA",0.0653426626922753,177,"Untrained"
"eca_nfnet_l0_random","ECA-NFNeT-L0","CRSA",0.0670492621045515,191,"Untrained"
"coat_lite_tiny_random","CoaT-Lite-Tiny","CRSA",0.0673297713485153,208,"Untrained"
"vit_small_patch32_224_random","ViT-S-P32","CRSA",0.0675088435305148,195,"Untrained"
"pit_b_224_random","PiT-B-224","CRSA",0.0679405818943177,206,"Untrained"
"convit_tiny_random","ConViT-T","CRSA",0.0687689140852061,209,"Untrained"
"vit_small_patch16_224_random","ViT-S-P16","CRSA",0.0688983402541362,194,"Untrained"
"mixer_b16_224_random","MLP-Mixer-B16","CRSA",0.0693588336528996,198,"Untrained"
"squeezenet1_0_random","SqueezeNet1.0","CRSA",0.0706880866805416,172,"Untrained"
"swin_base_patch4_window7_224_random","Swin-B-P4-W7","CRSA",0.0710217708491109,188,"Untrained"
"mixer_l16_224_random","MLP-Mixer-L16","CRSA",0.0720664532952614,184,"Untrained"
"convnext_base_random","ConvNext-B","CRSA",0.0722350925578655,200,"Untrained"
"gmixer_24_224_random","GMixer-24","CRSA",0.0731319883822192,220,"Untrained"
"convnext_large_random","ConvNext-L","CRSA",0.0735227676567837,192,"Untrained"
"tnt_s_patch16_224_random","TnT-P16-224","CRSA",0.0736280721806586,216,"Untrained"
"swin_tiny_patch4_window7_224_random","Swin-T-P4-W7","CRSA",0.0742393565845669,189,"Untrained"
"autoencoding_taskonomy","Autoencoder","CRSA",0.0766794642651252,197,"Taskonomy"
"efficientnet_b3_random","EfficientNet-B3","CRSA",0.0776257054185951,199,"Untrained"
"nfnet_l0_random","NF-Net-L0","CRSA",0.07988541093869,212,"Untrained"
"segment_unsup2d_taskonomy","Unsupervised 2D Segmentation","CRSA",0.0808930437044785,155,"Taskonomy"
"nf_resnet50_random","NF-ResNet50","CRSA",0.0833226902598482,148,"Untrained"
"egomotion_taskonomy","Egomotion","CRSA",0.0873840345132015,151,"Taskonomy"
"vanishing_point_taskonomy","Vanishing Point","CRSA",0.0876787668773507,153,"Taskonomy"
"point_matching_taskonomy","Point Matching","CRSA",0.0934367868662969,150,"Taskonomy"
"nonfixated_pose_taskonomy","Camera Pose (Nonfixated)","CRSA",0.0949840851927135,159,"Taskonomy"
"inpainting_taskonomy","Inpainting","CRSA",0.095016333714225,152,"Taskonomy"
"fixated_pose_taskonomy","Camera Pose (Fixated)","CRSA",0.0989262328214812,149,"Taskonomy"
"alexnet_gn_ipcl_vggface2","AlexNet-GN-IPCLVGGFace2","CRSA",0.101014602354822,147,"VGGFace2"
"depth_zbuffer_taskonomy","Z-Buffer Depth","CRSA",0.131795050245562,142,"Taskonomy"
"curvature_taskonomy","Curvatures","CRSA",0.131913838120402,144,"Taskonomy"
"room_layout_taskonomy","Room Layout","CRSA",0.137072420129858,146,"Taskonomy"
"segment_semantic_taskonomy","Semantic Segmentation","CRSA",0.1442811263009,143,"Taskonomy"
"class_scene_taskonomy","Scene Classification","CRSA",0.146553658871821,136,"Taskonomy"
"normal_taskonomy","Surface Normals","CRSA",0.153572558260563,141,"Taskonomy"
"reshading_taskonomy","Reshading","CRSA",0.161052275206381,139,"Taskonomy"
"edge_occlusion_taskonomy","Occlusion Edges","CRSA",0.161763541809486,140,"Taskonomy"
"keypoints3d_taskonomy","3D Keypoints","CRSA",0.16487126634867,137,"Taskonomy"
"segment_unsup25d_taskonomy","Unsupervised 2.5D Segmentation","CRSA",0.17107190357517,145,"Taskonomy"
"depth_euclidean_taskonomy","Euclidean Depth","CRSA",0.173323359615137,138,"Taskonomy"
"class_object_taskonomy","Object Classification","CRSA",0.18923916050676,135,"Taskonomy"
"MiDaS_monoculardepth","MiDaS","CRSA",0.199641580142373,126,"ImageNet+"
"mixer_l16_224_in21k_classification","Mixer-L16-IN22K","CRSA",0.234487758898889,61,"ImageNet+"
"ResNet50-RotNet_selfsupervised","ResNet50-RotNet","CRSA",0.238128720893577,130,"ImageNet+"
"alexnet_gn_ipcl_places256","AlexNet-GN-IPCLPlaces256","CRSA",0.241788782168068,134,"Places256"
"convnext_large_classification","ConvNext-L","CRSA",0.243149109916857,108,"ImageNet+"
"alexnet_gn_ipcl_openimages","AlexNet-GN-IPCLOpenImages","CRSA",0.249447991311561,133,"OpenImages"
"ResNet50-JigSaw-Goyal19_selfsupervised","ResNet50-JigSaw-Goyal19","CRSA",0.256946126486895,131,"ImageNet+"
"DPT_Hybrid_monoculardepth","DPT-Hybrid","CRSA",0.265462834464265,125,"ImageNet+"
"ResNet50-MoCoV2-BS256_selfsupervised","ResNet50-MoCoV2-BS256","CRSA",0.265504085415745,127,"ImageNet+"
"ResNet50-JigSaw-P100_selfsupervised","ResNet50-JigSaw-P100","CRSA",0.266665973391301,129,"ImageNet+"
"mixer_b16_224_in21k_classification","Mixer-B16-IN22K","CRSA",0.26864952533446,114,"ImageNet+"
"pit_b_224_classification","PiT-B-224","CRSA",0.271826037119732,119,"ImageNet+"
"alexnet_gn_ipcl_imagenet","AlexNet-GN-IPCLImageNet","CRSA",0.272191057577333,132,"ImageNet+"
"tnt_s_patch16_224_classification","TnT-P16-224","CRSA",0.280892948739733,103,"ImageNet+"
"swin_large_patch4_window7_224_classification","Swin-L-P4-W7","CRSA",0.282725557536005,50,"ImageNet+"
"ViT-L-CLIP-CC12M_slip","ViT-L-CLIP-CC12M","CRSA",0.283097475470675,115,"ImageNet+"
"ViT-L-CLIP_slip","ViT-L-CLIP","CRSA",0.28432126603456,105,"ImageNet+"
"convit_tiny_classification","ConViT-T","CRSA",0.286469732026108,122,"ImageNet+"
"vit_small_patch32_224_in21k_classification","ViT-S-P32-IN21K","CRSA",0.286559357719256,107,"ImageNet+"
"ViT-L-SLIP-CC12M_slip","ViT-L-SLIP-CC12M","CRSA",0.286828273345008,25,"ImageNet+"
"vit_small_patch32_224_classification","ViT-S-P32","CRSA",0.288815811224477,118,"ImageNet+"
