voxel_id,subj_id,ncsnr,OTC,early,ventral,midventral,lateral,midlateral,parietal,midparietal,FFA-1,FFA-2,OFA,EBA,FBA-1,FBA-2,OPA,PPA,VWFA-1,VWFA-2,OWFA
S1-14-21-51,1,0.3721208870410919,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-22-42,1,0.5066602230072021,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-22-43,1,0.3970027565956116,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-22-48,1,0.31167662143707275,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-22-49,1,0.41199812293052673,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-22-50,1,0.27764588594436646,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-22-51,1,0.27428919076919556,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-23-41,1,0.3504694104194641,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-23-42,1,0.5584211945533752,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-23-43,1,0.3470127284526825,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-23-46,1,0.3351156711578369,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-23-49,1,0.22910843789577484,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-23-50,1,0.23162652552127838,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-23-51,1,0.2333536446094513,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-23-52,1,0.224054753780365,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-24-42,1,0.5274170637130737,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-24-43,1,0.3573389947414398,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-24-44,1,0.24129848182201385,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-24-45,1,0.7713026404380798,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-24-46,1,0.6620219945907593,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-24-47,1,0.4945702850818634,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-24-48,1,0.6183285713195801,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-24-49,1,0.3764899969100952,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-24-50,1,0.21611569821834564,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-24-51,1,0.28991279006004333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-25-43,1,0.30116555094718933,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-25-44,1,0.35831665992736816,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-25-45,1,0.5773919224739075,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-26-43,1,0.5357624888420105,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-14-26-44,1,0.7602208852767944,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-26-46,1,0.6492635607719421,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-27-45,1,0.6999913454055786,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-27-46,1,0.40768691897392273,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-27-47,1,0.2649257481098175,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-28-45,1,0.2824891209602356,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-28-46,1,0.20149952173233032,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-29-46,1,0.5346623659133911,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-29-47,1,0.39372512698173523,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-14-30-46,1,0.4177384078502655,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-17-43,1,0.283564031124115,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-17-44,1,0.5419541597366333,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-17-45,1,0.6897581815719604,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-17-46,1,0.6459219455718994,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-17-47,1,0.8916066884994507,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-17-48,1,0.6664750576019287,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-18-43,1,0.6144083738327026,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-18-44,1,0.8397555947303772,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-18-45,1,0.6988492608070374,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-18-46,1,0.5986849069595337,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-18-47,1,0.5811309218406677,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-18-48,1,0.45461007952690125,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-18-49,1,0.3657190501689911,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-19-43,1,0.9962289333343506,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-19-44,1,0.552160918712616,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-19-45,1,0.9551753401756287,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-19-46,1,0.7363022565841675,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-19-47,1,0.3105256259441376,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-19-48,1,0.326833575963974,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-19-49,1,0.3968348205089569,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-20-39,1,0.45418983697891235,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-20-40,1,0.43365979194641113,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-20-44,1,0.809071958065033,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-20-45,1,1.3308452367782593,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-20-46,1,1.0354161262512207,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-20-48,1,0.2336491495370865,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-20-49,1,0.23826050758361816,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-39,1,0.5149770975112915,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-40,1,0.32955998182296753,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-41,1,0.3020513951778412,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-42,1,0.5569509863853455,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-43,1,0.8024711012840271,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-44,1,0.5217710137367249,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-45,1,0.9072930812835693,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-46,1,0.7554396390914917,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-48,1,0.27404969930648804,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-49,1,0.3963644206523895,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-21-51,1,0.22523948550224304,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1-15-22-41,1,0.3132995665073395,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-22-42,1,0.3648478388786316,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-22-43,1,0.201203852891922,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-22-48,1,0.3598680794239044,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-22-49,1,0.5878427624702454,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-22-50,1,0.34652066230773926,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-23-41,1,0.3594519793987274,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-23-43,1,0.20078063011169434,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-23-45,1,0.4551469683647156,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-23-46,1,0.685230016708374,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-23-47,1,0.2206338495016098,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S1-15-23-50,1,0.2631475031375885,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
