var1,var2,correlation,metric
convnext_large_classification,resnet18_random,0.0719944197976351,crsa
convnext_large_classification,RegNet-128Gf-SEER_seer,0.5459106058603049,crsa
convnext_large_classification,fixated_pose_taskonomy,0.25314119719967,crsa
convnext_large_classification,vit_base_r50_s16_224_in21k_classification,0.6175651082995184,crsa
convnext_large_classification,ViT-L-SLIP_slip,0.3417123489182731,crsa
convnext_large_classification,xception_random,0.102603007612776,crsa
convnext_large_classification,ghostnet_100_random,0.0451759867018137,crsa
convnext_large_classification,class_object_taskonomy,0.3926128252541223,crsa
convnext_large_classification,keypoints2d_taskonomy,0.07407758155410618,crsa
convnext_large_classification,pit_b_224_random,0.1280346189795856,crsa
convnext_large_classification,dla34_classification,0.6526995794887321,crsa
convnext_large_classification,segment_unsup25d_taskonomy,0.3780136496240908,crsa
convnext_large_classification,convnext_base_random,0.15225120070588186,crsa
convnext_large_classification,RN101_clip,0.29248931583856624,crsa
convnext_large_classification,vit_large_patch16_224_random,0.1261684681930301,crsa
convnext_large_classification,eca_nfnet_l0_classification,0.6223061614159394,crsa
convnext_large_classification,resmlp_24_224_random,0.1467748676857327,crsa
convnext_large_classification,regnety_064_classification,0.3136622440299067,crsa
convnext_large_classification,hardcorenas_a_classification,0.5084866608225465,crsa
convnext_large_classification,resnet101_random,0.00878924986223737,crsa
convnext_large_classification,mixer_l16_224_random,0.1762578262866042,crsa
convnext_large_classification,vit_large_patch16_224_classification,0.6327755164794795,crsa
convnext_large_classification,resmlp_big_24_224_random,0.15022338972730137,crsa
convnext_large_classification,hardcorenas_a_random,0.0743307076787367,crsa
convnext_large_classification,convit_tiny_random,0.1311900298191923,crsa
convnext_large_classification,random_weights_taskonomy,0.03518015043098303,crsa
convnext_large_classification,convmixer_768_32_random,-0.00951427517000925,crsa
convnext_large_classification,vit_base_patch16_224_classification,0.4091058573745279,crsa
convnext_large_classification,xcit_nano_12_p8_224_random,-0.013575339841820872,crsa
convnext_large_classification,dla34_random,0.006903771683511158,crsa
convnext_large_classification,convnext_large_in22k_classification,0.3777100044444229,crsa
convnext_large_classification,resnet152_random,-0.01121799289333045,crsa
convnext_large_classification,crossvit_base_240_classification,0.42605110540194036,crsa
convnext_large_classification,vit_tiny_patch16_224_classification,0.3495735922516681,crsa
convnext_large_classification,resnet50_classification,0.6774711343539146,crsa
convnext_large_classification,mixer_b16_224_random,0.16087088861176724,crsa
convnext_large_classification,xcit_nano_12_p8_224_classification,0.45010389060578665,crsa
convnext_large_classification,vit_small_patch16_224_in21k_classification,0.4684999891985254,crsa
convnext_large_classification,edge_occlusion_taskonomy,0.39583736142814346,crsa
convnext_large_classification,swin_tiny_patch4_window7_224_classification,0.6264624031854538,crsa
convnext_large_classification,faster_rcnn_R_50_FPN_3x_detection,0.6393818647577255,crsa
convnext_large_classification,skresnext50_32x4d_classification,0.5994108311152335,crsa
convnext_large_classification,shufflenet_v2_x1_0_classification,0.6786086324304161,crsa
convnext_large_classification,keypoint_rcnn_R_50_FPN_3x_segmentation,0.5292211552211398,crsa
convnext_large_classification,mnasnet1_0_classification,0.31196496206414376,crsa
convnext_large_classification,curvature_taskonomy,0.3409333812214383,crsa
convnext_large_classification,vit_small_patch32_224_classification,0.447123344888256,crsa
convnext_large_classification,coat_lite_tiny_random,0.15472180462627072,crsa
convnext_large_classification,deit_base_patch16_224_classification,0.626445228406404,crsa
convnext_large_classification,ViT-B-CLIP_slip,0.3128079495579883,crsa
convnext_large_classification,convit_base_classification,0.4223833343354317,crsa
convnext_large_classification,poolformer_s36_classification,0.6274832838905601,crsa
convnext_large_classification,squeezenet1_0_random,0.07047949041235749,crsa
convnext_large_classification,xcit_nano_12_p16_224_classification,0.5022039466214359,crsa
convnext_large_classification,inception_v3_random,0.0435480476953418,crsa
convnext_large_classification,BiT-Expert-ResNet-V2-Instrument_bit_expert,0.6593124820582379,crsa
convnext_large_classification,ViT-L-CLIP_slip,0.3044316939876134,crsa
convnext_large_classification,levit_128_random,0.07598436693775944,crsa
convnext_large_classification,resmlp_big_24_224_in22ft1k_classification,0.5859244336755182,crsa
convnext_large_classification,pit_ti_224_classification,0.6464325532706967,crsa
convnext_large_classification,swin_large_patch4_window7_224_in22k_classification,0.594645418184744,crsa
convnext_large_classification,jx_nest_tiny_random,0.08728013955400803,crsa
convnext_large_classification,resnet101_classification,0.6084304786932788,crsa
convnext_large_classification,swin_base_patch4_window7_224_random,0.15665389193746485,crsa
convnext_large_classification,vit_small_patch16_224_classification,0.4990943473248527,crsa
convnext_large_classification,mobilenet_v2_random,0.06623880604916725,crsa
convnext_large_classification,convit_tiny_classification,0.6838954318822454,crsa
convnext_large_classification,efficientnet_b1_random,0.12283911902466062,crsa
convnext_large_classification,inception_v3_classification,0.5652507125461353,crsa
convnext_large_classification,RegNet-32Gf-SEER-INFT_seer,0.5094833446123003,crsa
convnext_large_classification,MiDaS_monoculardepth,0.4509323771688456,crsa
convnext_large_classification,vit_large_patch16_224_in21k_classification,0.39763144928198935,crsa
convnext_large_classification,RegNet-128Gf-SEER-INFT_seer,0.6055300764447284,crsa
convnext_large_classification,ViT-L-CLIP-CC12M_slip,0.2970397294957982,crsa
convnext_large_classification,ResNet50-MoCoV2-BS256_selfsupervised,0.4647404958901228,crsa
convnext_large_classification,alexnet_gn_ipcl_openimages,0.4218657508528984,crsa
convnext_large_classification,inpainting_taskonomy,0.1380473170212208,crsa
convnext_large_classification,BiT-Expert-ResNet-V2-Flower_bit_expert,0.5737467862455108,crsa
convnext_large_classification,shufflenet_v2_x1_0_random,0.03954173112989571,crsa
convnext_large_classification,gmlp_s16_224_classification,0.5946035114900575,crsa
convnext_large_classification,normal_taskonomy,0.32415482184430233,crsa
convnext_large_classification,ResNet50-JigSaw-Goyal19_selfsupervised,0.5318877206358579,crsa
convnext_large_classification,cspresnet50_classification,0.5869611908054427,crsa
convnext_large_classification,class_scene_taskonomy,0.2140509358936965,crsa
convnext_large_classification,reshading_taskonomy,0.4406775404019441,crsa
convnext_large_classification,gmixer_24_224_random,0.15878499985595435,crsa
convnext_large_classification,resmlp_24_224_classification,0.3947639584100652,crsa
convnext_large_classification,swin_large_patch4_window7_224_classification,0.49045207197627305,crsa
convnext_large_classification,jigsaw_taskonomy,0.12479398065230038,crsa
RegNet-64Gf-SEER-INFT_seer,ViT-B/32_clip,0.4516543225033456,crsa
RegNet-64Gf-SEER-INFT_seer,regnetx_064_classification,0.3240996248543779,crsa
RegNet-64Gf-SEER-INFT_seer,seresnext50_32x4d_classification,0.6589947319917211,crsa
